127.0.0.1 - - [06/Sep/2018:09:19:19 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:22 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:29 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=20 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:34 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:58 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:59 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:59 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:19:59 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:21 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:22 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:22 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=15 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:23 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:24 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:24 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:24 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:32 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:24:35 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=55 HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:37:01 +0900] "GET /studyjsp/152_responseRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:37:01 +0900] "GET /studyjsp/responseRedirected.jsp HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:37:14 +0900] "GET /studyjsp/152_responseRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:37:14 +0900] "GET /studyjsp/153_responseRedirected.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:50:09 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:09:50:11 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=20 HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:01:26 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:01:29 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=20 HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:08:22 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:08:24 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=23 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:08:58 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:08:59 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=23 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:14:03 +0900] "GET /studyjsp/144-2_infoForm.jsp HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:14:05 +0900] "GET /studyjsp/146-2_infoTest.jsp?age=20 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:44:32 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:44:40 +0900] "POST /studyjsp/159_sessionTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:44:40 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:44:58 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:45:03 +0900] "POST /studyjsp/159_sessionTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:45:03 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:46:02 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:46:05 +0900] "POST /studyjsp/160_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:46:05 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:46:08 +0900] "POST /studyjsp/159_sessionTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:46:08 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:46:11 +0900] "POST /studyjsp/160_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:46:11 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:47:34 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:47:41 +0900] "POST /studyjsp/159_sessionTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:47:41 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:53:42 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:53:48 +0900] "POST /studyjsp/159_sessionTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:53:48 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:53:49 +0900] "POST /studyjsp/160_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:10:53:49 +0900] "GET /studyjsp/157_sessionTestForm.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:29:58 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/1.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:30:03 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/2.jsp?name=dfe HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:30:05 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/3.jsp?gender=m HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:38:23 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/1.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:38:26 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/2.jsp?name=uiu HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:38:28 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/3.jsp?gender=f HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:41:43 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/1.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:41:45 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/2.jsp?name=%E3%84%B9%E3%84%B9%E3%84%B9 HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:41:46 +0900] "GET /studyjsp/%EA%B3%BC%EC%A0%9C/%EC%98%88%EC%A0%9C/3.jsp?gender=f HTTP/1.1" 200 192
